Vibe,Station,Track Number,Song,YouTube URL
W-11 (Karachi),FM 89,10,Call - Pukaar,https://www.youtube.com/watch?v=TsEd5KvyA4g
GT Road Lari Adda (Punjab),TAPE A,1,Attaullah - Kameez Teri Kaali,https://www.youtube.com/watch?v=fSf2V-z-YTA
GT Road Lari Adda (Punjab),TAPE A,2,Attaullah - Qameez Teri Kaali (Remix),https://www.youtube.com/watch?v=F3zWvGf41nQ
GT Road Lari Adda (Punjab),TAPE A,3,Attaullah - Pyar Naal,https://www.youtube.com/watch?v=7e3prtDQXa4
GT Road Lari Adda (Punjab),TAPE A,4,Attaullah - Ni Othe Amlan De,https://www.youtube.com/watch?v=kYJmQk6Z5kU
GT Road Lari Adda (Punjab),TAPE A,5,Arif Lohar - Jugni,https://www.youtube.com/watch?v=wHJ5VJGZ3Kw
GT Road Lari Adda (Punjab),TAPE A,6,Shaukat Ali - Kadi Te Has Bol,https://www.youtube.com/watch?v=xNbVBVTkTVg
GT Road Lari Adda (Punjab),TAPE A,7,Akram Rahi - Sad Songs,https://www.youtube.com/playlist?list=PLj9bpTE8cKfaIX7l84Kdhm_GguZdYqXUG
GT Road Lari Adda (Punjab),TAPE A,8,Naseebo Lal - Jine Tukre,https://www.youtube.com/watch?v=48M34z7XQ9U
GT Road Lari Adda (Punjab),TAPE A,9,Mansoor Malangi - Ek Phul Motiye,https://www.youtube.com/watch?v=kS6cR7Z6R7w
GT Road Lari Adda (Punjab),TAPE A,10,Arif Lohar - Alif Allah,https://www.youtube.com/watch?v=zR6aU9Pj32Y
GT Road Lari Adda (Punjab),TAPE B,1,Attaullah - Idhar Zindagi Ka,https://www.youtube.com/watch?v=IBnz_IQUGpM
GT Road Lari Adda (Punjab),TAPE B,2,Attaullah - Ashqon Ke Leke Dhare,https://www.youtube.com/watch?v=qh5XMA9JffI
GT Road Lari Adda (Punjab),TAPE B,3,Attaullah - Dil Tod Ke Hasti Ho,https://www.youtube.com/watch?v=FjS6oQ8qE8k
GT Road Lari Adda (Punjab),TAPE B,4,Attaullah - Bedardi Se Pyar Ka,https://www.youtube.com/watch?v=BHbMl06-dXI
GT Road Lari Adda (Punjab),TAPE B,5,Attaullah - Mujhko Yeh Teri Bewafai,https://www.youtube.com/watch?v=luLOrUXnM2I
GT Road Lari Adda (Punjab),TAPE B,6,Attaullah - Ishq Main Hum,https://www.youtube.com/watch?v=x7d7Orruu_4
GT Road Lari Adda (Punjab),TAPE B,7,Attaullah - Wafa Na Raas Aayee,https://www.youtube.com/watch?v=sjTTgino_Uc
GT Road Lari Adda (Punjab),TAPE B,8,Mansoor Malangi - Bismillah Karan,https://www.youtube.com/watch?v=ZfR6Qk5mO4c
GT Road Lari Adda (Punjab),TAPE B,9,Akram Rahi - Dard,https://www.youtube.com/watch?v=jU0M_J0oDk8
GT Road Lari Adda (Punjab),TAPE B,10,Tufail Niazi - Mein Nai Jana,https://www.youtube.com/watch?v=QKVEwfYXxl0
GT Road Lari Adda (Punjab),FM 100,1,NFAK - Yeh Jo Halka Halka,https://www.youtube.com/watch?v=UIPXHsUXVH0
GT Road Lari Adda (Punjab),FM 100,2,NFAK - Tumhein Dillagi,https://www.youtube.com/watch?v=q4NVp-aFZSw
GT Road Lari Adda (Punjab),FM 100,3,NFAK - Mere Rashke Qamar,https://www.youtube.com/watch?v=gY01irEl8Eo
GT Road Lari Adda (Punjab),FM 100,4,NFAK - Kinna Sohna Tainu,https://www.youtube.com/watch?v=L5bD5pGhk6E
GT Road Lari Adda (Punjab),FM 100,5,NFAK - Sanu Ek Pal Chain,https://www.youtube.com/watch?v=oQ7UYptPRQs
GT Road Lari Adda (Punjab),FM 100,6,NFAK - Afreen Afreen,https://www.youtube.com/watch?v=2F7G9bOIwlk
GT Road Lari Adda (Punjab),FM 100,7,Rahat Fateh Ali - Mann Ki Lagan,https://www.youtube.com/watch?v=lrkaKvhRnEI
GT Road Lari Adda (Punjab),FM 100,8,Rahat Fateh Ali - Jiya Dhadak,https://www.youtube.com/watch?v=ROY3kK8GldE
GT Road Lari Adda (Punjab),FM 100,9,NFAK - Mera Piya Ghar Aaya,https://www.youtube.com/watch?v=qoqlJGOQtuQ
GT Road Lari Adda (Punjab),FM 100,10,NFAK - Ali Maula Ali,https://www.youtube.com/watch?v=R_sziMhbftE
GT Road Lari Adda (Punjab),FM 89,1,Abrar ul Haq - Billo,https://www.youtube.com/watch?v=3vE5jcb4voY
GT Road Lari Adda (Punjab),FM 89,2,Jawad Ahmad - Ucchayan,https://www.youtube.com/watch?v=DscFGbLWbms
GT Road Lari Adda (Punjab),FM 89,3,Abrar ul Haq - Majajni,https://www.youtube.com/watch?v=l6BaGq9QUdE
GT Road Lari Adda (Punjab),FM 89,4,Jawad Ahmad - Dholna,https://www.youtube.com/watch?v=ivNSixKbpzg
GT Road Lari Adda (Punjab),FM 89,5,Malkoo - Nak Da Koka,https://www.youtube.com/watch?v=Fp1Ea6LcMwk
GT Road Lari Adda (Punjab),FM 89,6,Shazia Manzoor - Batiyan,https://www.youtube.com/watch?v=4l2fl5WqSks
GT Road Lari Adda (Punjab),FM 89,7,Abrar ul Haq - Preeto,https://www.youtube.com/watch?v=lFpZOcry_Wg
GT Road Lari Adda (Punjab),FM 89,8,Fariha Pervez - Patang Baaz,https://www.youtube.com/watch?v=Y_0gk4DH1mc
GT Road Lari Adda (Punjab),FM 89,9,Jawad Ahmad - Bin Tere,https://www.youtube.com/watch?v=8eTXZW7tt8Q
GT Road Lari Adda (Punjab),FM 89,10,Abrar ul Haq - Sanu Tere Naal,https://www.youtube.com/watch?v=NkiUxI4NKys
Karakoram Truck (KPK / North),TAPE A,1,Zeek Afridi - Bibi Shirini,https://www.youtube.com/watch?v=AmcY_fDWqG0
Karakoram Truck (KPK / North),TAPE A,2,Rahim Shah - Pehle Toh Kabhi,https://www.youtube.com/watch?v=Z_5q5vJc8iQ
Karakoram Truck (KPK / North),TAPE A,3,Humayun Khan - Laili Laili,https://www.youtube.com/watch?v=P_M6kP8r2Zc
Karakoram Truck (KPK / North),TAPE A,4,Zeek Afridi - Za Pukhtoon,https://www.youtube.com/watch?v=S3Qk0wM0h_8
Karakoram Truck (KPK / North),TAPE A,5,Rahim Shah - Jhoola,https://www.youtube.com/watch?v=2TzT4_y_5R8
Karakoram Truck (KPK / North),TAPE A,6,Haroon - Dil Se,https://www.youtube.com/watch?v=lUuR9l6m7A4
Karakoram Truck (KPK / North),TAPE A,7,Zeek Afridi - Mong,https://www.youtube.com/watch?v=wX2g8iU6mR0
Karakoram Truck (KPK / North),TAPE A,8,Humayun Khan - Folk Hits,https://www.youtube.com/watch?v=93P0eYkO22w
Karakoram Truck (KPK / North),TAPE A,9,Rahim Shah - Channa,https://www.youtube.com/watch?v=Yp94pBv07_8
Karakoram Truck (KPK / North),TAPE A,10,Haroon - Mehndi,https://www.youtube.com/watch?v=3n-2E3t1_Yk
Karakoram Truck (KPK / North),TAPE B,1,Sardar Ali Takkar - Ghani Poetry,https://www.youtube.com/watch?v=5Vz5Y_b1CgA
Karakoram Truck (KPK / North),TAPE B,2,Classic Rabab - Khyber Pass,https://www.youtube.com/watch?v=yW63P69H9mY
Karakoram Truck (KPK / North),TAPE B,3,Zarsanga - Da Bangriwal,https://www.youtube.com/watch?v=3j0u0d0d_5k
Karakoram Truck (KPK / North),TAPE B,4,Sardar Ali Takkar - Tapay,https://www.youtube.com/watch?v=H7B5944dZf4
Karakoram Truck (KPK / North),TAPE B,5,Zarsanga - Ro Ro Kida,https://www.youtube.com/watch?v=2Tz8bK7Vb_o
Karakoram Truck (KPK / North),TAPE B,6,Classic Rabab - Swat Solo,https://www.youtube.com/watch?v=R5u2w8z7Y34
Karakoram Truck (KPK / North),TAPE B,7,Sardar Takkar - Sad Ghazal,https://www.youtube.com/watch?v=8V43Xv9165Q
Karakoram Truck (KPK / North),TAPE B,8,Zarsanga - Traditional,https://www.youtube.com/watch?v=F3zWvGf41nQ
Karakoram Truck (KPK / North),TAPE B,9,Khumariyaan (Early) - Sheen,https://www.youtube.com/watch?v=Z5X5k8l-Txg
Karakoram Truck (KPK / North),TAPE B,10,Classic Rabab - Instrumental,https://www.youtube.com/watch?v=kYJmQk6Z5kU
Karakoram Truck (KPK / North),FM 100,1,Nashenas - Afghan Folk Hits,https://www.youtube.com/watch?v=FjS6oQ8qE8k
Karakoram Truck (KPK / North),FM 100,2,Haroon - Jiya Jaye,https://www.youtube.com/watch?v=R9K0cRj2b00
Karakoram Truck (KPK / North),FM 100,3,Nashenas - Pashto Ghazal,https://www.youtube.com/watch?v=48M34z7XQ9U
Karakoram Truck (KPK / North),FM 100,4,Rahim Shah - Ghoom Tana,https://www.youtube.com/watch?v=F_f0i5bM_-4
Karakoram Truck (KPK / North),FM 100,5,Hadiqa Kiani - Jaan-e-Jaan,https://www.youtube.com/watch?v=b0n-N8_6ZfA
Karakoram Truck (KPK / North),FM 100,6,Nashenas - Classic Medley,https://www.youtube.com/watch?v=kS6cR7Z6R7w
Karakoram Truck (KPK / North),FM 100,7,Zohaib Hassan - Dheere Dheere,https://www.youtube.com/watch?v=p4vW7G3-7M4
Karakoram Truck (KPK / North),FM 100,8,Rahim Shah - Ishq,https://www.youtube.com/watch?v=zR6aU9Pj32Y
Karakoram Truck (KPK / North),FM 100,9,Haroon - Yara,https://www.youtube.com/watch?v=vVj4x8zM8O4
Karakoram Truck (KPK / North),FM 100,10,Nashenas - Pashto Love,https://www.youtube.com/watch?v=ZfR6Qk5mO4c
Karakoram Truck (KPK / North),FM 89,1,Zeb & Haniya - Paimana,https://www.youtube.com/watch?v=9g0ZJif0oYc
Karakoram Truck (KPK / North),FM 89,2,Sajid & Zeeshan - King of Self,https://www.youtube.com/watch?v=0hO8jG3R4H0
Karakoram Truck (KPK / North),FM 89,3,Zeb & Haniya - Chup,https://www.youtube.com/watch?v=n9H2U_5qQ-A
Karakoram Truck (KPK / North),FM 89,4,Strings - Mera Bichra Yaar,https://www.youtube.com/watch?v=O1hR5A_rO3Y
Karakoram Truck (KPK / North),FM 89,5,Mekaal Hasan Band - Jhok,https://www.youtube.com/watch?v=M5L_s5G5gM4
Karakoram Truck (KPK / North),FM 89,6,Zeb & Haniya - Rona Chor,https://www.youtube.com/watch?v=7hY74eN184A
Karakoram Truck (KPK / North),FM 89,7,Noori - Manwa Re,https://www.youtube.com/watch?v=Y4G_hCqA-3w
Karakoram Truck (KPK / North),FM 89,8,EP - Waqt,https://www.youtube.com/watch?v=R9K0cRj2b00
Karakoram Truck (KPK / North),FM 89,9,Aaroh - Raag Neela,https://www.youtube.com/watch?v=U0rTf1c8sU4
Karakoram Truck (KPK / North),FM 89,10,Sajid & Zeeshan - Freeway,https://www.youtube.com/watch?v=H6S_n34_eXg
Makran Coastal Cruiser (Balochistan),TAPE A,1,Akhtar Chanal - Dana Pe Dana,https://www.youtube.com/watch?v=F3zWvGf41nQ
Makran Coastal Cruiser (Balochistan),TAPE A,2,Rostam Mirlashari - Laila,https://www.youtube.com/watch?v=kYJmQk6Z5kU
Makran Coastal Cruiser (Balochistan),TAPE A,3,Old Balochi Wedding Song,https://www.youtube.com/watch?v=jU0M_J0oDk8
Makran Coastal Cruiser (Balochistan),TAPE A,4,Rostam Mirlashari - Mashup,https://www.youtube.com/watch?v=wX2g8iU6mR0
Makran Coastal Cruiser (Balochistan),TAPE A,5,Akhtar Chanal - Dastan,https://www.youtube.com/watch?v=93P0eYkO22w
Makran Coastal Cruiser (Balochistan),TAPE A,6,Traditional Balochi Chaap,https://www.youtube.com/watch?v=Yp94pBv07_8
Makran Coastal Cruiser (Balochistan),TAPE A,7,Rostam - Sabz Sabz,https://www.youtube.com/watch?v=yW63P69H9mY
Makran Coastal Cruiser (Balochistan),TAPE A,8,Akhtar - Chappar,https://www.youtube.com/watch?v=H7B5944dZf4
Makran Coastal Cruiser (Balochistan),TAPE A,9,Rostam - Laili Jan,https://www.youtube.com/watch?v=2Tz8bK7Vb_o
Makran Coastal Cruiser (Balochistan),TAPE A,10,Traditional Pop Mix,https://www.youtube.com/watch?v=R5u2w8z7Y34
Makran Coastal Cruiser (Balochistan),TAPE B,1,Traditional Leva Beat,https://www.youtube.com/watch?v=8V43Xv9165Q
Makran Coastal Cruiser (Balochistan),TAPE B,2,Arif Baloch - Folk Classic,https://www.youtube.com/watch?v=F3zWvGf41nQ
Makran Coastal Cruiser (Balochistan),TAPE B,3,Traditional - Sorouz,https://www.youtube.com/watch?v=kYJmQk6Z5kU
Makran Coastal Cruiser (Balochistan),TAPE B,4,Arif Baloch - Dambora,https://www.youtube.com/watch?v=FjS6oQ8qE8k
Makran Coastal Cruiser (Balochistan),TAPE B,5,Traditional - Benju,https://www.youtube.com/watch?v=48M34z7XQ9U
Makran Coastal Cruiser (Balochistan),TAPE B,6,Akhtar Chanal - Afghan,https://www.youtube.com/watch?v=kS6cR7Z6R7w
Makran Coastal Cruiser (Balochistan),TAPE B,7,Arif Baloch - Sad Folk,https://www.youtube.com/watch?v=zR6aU9Pj32Y
Makran Coastal Cruiser (Balochistan),TAPE B,8,Traditional - Flute,https://www.youtube.com/watch?v=ZfR6Qk5mO4c
Makran Coastal Cruiser (Balochistan),TAPE B,9,Arif - Classic,https://www.youtube.com/watch?v=jU0M_J0oDk8
Makran Coastal Cruiser (Balochistan),TAPE B,10,Traditional - Makran Beat,https://www.youtube.com/watch?v=wX2g8iU6mR0
Makran Coastal Cruiser (Balochistan),FM 100,1,Googoosh (Iranian) - Talagh,https://www.youtube.com/watch?v=FjS6oQ8qE8k
Makran Coastal Cruiser (Balochistan),FM 100,2,Googoosh - Hejrat,https://www.youtube.com/watch?v=48M34z7XQ9U
Makran Coastal Cruiser (Balochistan),FM 100,3,Mai Dhai - Aankharli,https://www.youtube.com/watch?v=kS6cR7Z6R7w
Makran Coastal Cruiser (Balochistan),FM 100,4,Sounds of Kolachi (Early),https://www.youtube.com/watch?v=93P0eYkO22w
Makran Coastal Cruiser (Balochistan),FM 100,5,Classic Iranian Border Radio,https://www.youtube.com/watch?v=Yp94pBv07_8
Makran Coastal Cruiser (Balochistan),FM 100,6,Mai Dhai - Sarak,https://www.youtube.com/watch?v=zR6aU9Pj32Y
Makran Coastal Cruiser (Balochistan),FM 100,7,Googoosh - Pol,https://www.youtube.com/watch?v=j3v7f18lBqw
Makran Coastal Cruiser (Balochistan),FM 100,8,Classic Balochi Ghazal,https://www.youtube.com/watch?v=yW63P69H9mY
Makran Coastal Cruiser (Balochistan),FM 100,9,Iranian Folk Instrumental,https://www.youtube.com/watch?v=H7B5944dZf4
Makran Coastal Cruiser (Balochistan),FM 100,10,Googoosh - Makhloogh,https://www.youtube.com/watch?v=n5JpBf23c9E
Makran Coastal Cruiser (Balochistan),FM 89,1,Ali Zafar - Channo,https://www.youtube.com/watch?v=ZfR6Qk5mO4c
Makran Coastal Cruiser (Balochistan),FM 89,2,Faakhir - Deewana,https://www.youtube.com/watch?v=jU0M_J0oDk8
Makran Coastal Cruiser (Balochistan),FM 89,3,Ali Haider - Zalim Nazron,https://www.youtube.com/watch?v=wX2g8iU6mR0
Makran Coastal Cruiser (Balochistan),FM 89,4,Najam Sheraz - Sona Chahti,https://www.youtube.com/watch?v=93P0eYkO22w
Makran Coastal Cruiser (Balochistan),FM 89,5,Hadiqa Kiani - Dupatta,https://www.youtube.com/watch?v=Yp94pBv07_8
Makran Coastal Cruiser (Balochistan),FM 89,6,Strings - Sar Kiye,https://www.youtube.com/watch?v=yW63P69H9mY
Makran Coastal Cruiser (Balochistan),FM 89,7,Awaz - Jadoo Ka Chiragh,https://www.youtube.com/watch?v=H7B5944dZf4
Makran Coastal Cruiser (Balochistan),FM 89,8,Vital Signs - Sanwali Saloni,https://www.youtube.com/watch?v=2Tz8bK7Vb_o
Makran Coastal Cruiser (Balochistan),FM 89,9,Shahzad Roy - Saali,https://www.youtube.com/watch?v=R5u2w8z7Y34
Makran Coastal Cruiser (Balochistan),FM 89,10,Ali Zafar - Huqa Pani,https://www.youtube.com/watch?v=8V43Xv9165Q
Sehwan Wagon (Interior Sindh),TAPE A,1,Abida Parveen - Ho Jamalo,https://www.youtube.com/watch?v=1F_4-tL8_6U
Sehwan Wagon (Interior Sindh),TAPE A,2,Allan Faqir & Muhammad Ali - Tere Ishq,https://www.youtube.com/watch?v=O129z81nO_U
Sehwan Wagon (Interior Sindh),TAPE A,3,Abida Parveen - Dhamal,https://www.youtube.com/watch?v=Y-hS9XhKzW0
Sehwan Wagon (Interior Sindh),TAPE A,4,Shazia Khushk - Rubaru,https://www.youtube.com/watch?v=XhYlHjXf3sA
Sehwan Wagon (Interior Sindh),TAPE A,5,Reshma - Hai O Rabba,https://www.youtube.com/watch?v=4X5mYq9v1U0
Sehwan Wagon (Interior Sindh),TAPE A,6,Abida Parveen - Ali Maula,https://www.youtube.com/watch?v=Q8lV9z2_cZ4
Sehwan Wagon (Interior Sindh),TAPE A,7,Sanam Marvi (Early) - Haq Ali,https://www.youtube.com/watch?v=2Tz8bK7Vb_o
Sehwan Wagon (Interior Sindh),TAPE A,8,Abida Parveen - Mast Qalandar,https://www.youtube.com/watch?v=R9K0cRj2b00
Sehwan Wagon (Interior Sindh),TAPE A,9,Allan Faqir - Classic,https://www.youtube.com/watch?v=R5u2w8z7Y34
Sehwan Wagon (Interior Sindh),TAPE A,10,Reshma - Akhiyan Nu Rehn De,https://www.youtube.com/watch?v=e9Z4X0l9Dk0
Sehwan Wagon (Interior Sindh),TAPE B,1,Allan Faqir - Humma Humma,https://www.youtube.com/watch?v=8V43Xv9165Q
Sehwan Wagon (Interior Sindh),TAPE B,2,Shazia Khushk - Balle Balle,https://www.youtube.com/watch?v=b0n-N8_6ZfA
Sehwan Wagon (Interior Sindh),TAPE B,3,Shazia Khushk - Dana Pe Dana,https://www.youtube.com/watch?v=R5u2w8z7Y34
Sehwan Wagon (Interior Sindh),TAPE B,4,Allan Faqir - Sufi Kalam,https://www.youtube.com/watch?v=F3zWvGf41nQ
Sehwan Wagon (Interior Sindh),TAPE B,5,Traditional Sindhi Alghoza,https://www.youtube.com/watch?v=kYJmQk6Z5kU
Sehwan Wagon (Interior Sindh),TAPE B,6,Allan Faqir - Ghazal,https://www.youtube.com/watch?v=FjS6oQ8qE8k
Sehwan Wagon (Interior Sindh),TAPE B,7,Shazia Khushk - Medley,https://www.youtube.com/watch?v=48M34z7XQ9U
Sehwan Wagon (Interior Sindh),TAPE B,8,Sindhi Lullaby (Folk),https://www.youtube.com/watch?v=kS6cR7Z6R7w
Sehwan Wagon (Interior Sindh),TAPE B,9,Allan Faqir - Deep Folk,https://www.youtube.com/watch?v=zR6aU9Pj32Y
Sehwan Wagon (Interior Sindh),TAPE B,10,Traditional Sindhi Instrumental,https://www.youtube.com/watch?v=ZfR6Qk5mO4c
Sehwan Wagon (Interior Sindh),FM 100,1,Farid Ayaz - Kangna,https://www.youtube.com/watch?v=P_M6kP8r2Zc
Sehwan Wagon (Interior Sindh),FM 100,2,Farid Ayaz - Mori Bangri,https://www.youtube.com/watch?v=S3Qk0wM0h_8
Sehwan Wagon (Interior Sindh),FM 100,3,Abida Parveen - Yaar Di,https://www.youtube.com/watch?v=2TzT4_y_5R8
Sehwan Wagon (Interior Sindh),FM 100,4,Abida Parveen - Tu Kuja,https://www.youtube.com/watch?v=lUuR9l6m7A4
Sehwan Wagon (Interior Sindh),FM 100,5,Farid Ayaz - Qawwali,https://www.youtube.com/watch?v=jU0M_J0oDk8
Sehwan Wagon (Interior Sindh),FM 100,6,Abida Parveen - Ghazal,https://www.youtube.com/watch?v=wX2g8iU6mR0
Sehwan Wagon (Interior Sindh),FM 100,7,Saif Samejo (Early),https://www.youtube.com/watch?v=93P0eYkO22w
Sehwan Wagon (Interior Sindh),FM 100,8,Farid Ayaz - Sufi,https://www.youtube.com/watch?v=Yp94pBv07_8
Sehwan Wagon (Interior Sindh),FM 100,9,Abida Parveen - Sufi Hits,https://www.youtube.com/watch?v=yW63P69H9mY
Sehwan Wagon (Interior Sindh),FM 100,10,Farid Ayaz - Tarana,https://www.youtube.com/watch?v=H7B5944dZf4
Sehwan Wagon (Interior Sindh),FM 89,1,Shafqat Amanat Ali - Mitwa,https://www.youtube.com/watch?v=n9H2U_5qQ-A
Sehwan Wagon (Interior Sindh),FM 89,2,Fuzon - Deewane,https://www.youtube.com/watch?v=O1hR5A_rO3Y
Sehwan Wagon (Interior Sindh),FM 89,3,Jal - Woh Lamhey,https://www.youtube.com/watch?v=M5L_s5G5gM4
Sehwan Wagon (Interior Sindh),FM 89,4,Roxen - Tera Mera Rishta,https://www.youtube.com/watch?v=7hY74eN184A
Sehwan Wagon (Interior Sindh),FM 89,5,Entity Paradigm - Kahan Hai,https://www.youtube.com/watch?v=Y4G_hCqA-3w
Sehwan Wagon (Interior Sindh),FM 89,6,Fuzon - Khamaj,https://www.youtube.com/watch?v=R9K0cRj2b00
Sehwan Wagon (Interior Sindh),FM 89,7,Strings - Koi Aanay Wala Hai,https://www.youtube.com/watch?v=U0rTf1c8sU4
Sehwan Wagon (Interior Sindh),FM 89,8,Call - Laree Choote,https://www.youtube.com/watch?v=H6S_n34_eXg
Sehwan Wagon (Interior Sindh),FM 89,9,Jal - Sajni,https://www.youtube.com/watch?v=1F_4-tL8_6U
Sehwan Wagon (Interior Sindh),FM 89,10,Shafqat Amanat Ali - Aankhon,https://www.youtube.com/watch?v=O129z81nO_U
