Vibe,Station,Track Number,Song
W-11 (Karachi),FM 89,9,Jal - Aadat
W-11 (Karachi),FM 89,10,Call - Pukaar
GT Road Lari Adda (Punjab),TAPE A,1,Attaullah - Kameez Teri Kaali
GT Road Lari Adda (Punjab),TAPE A,2,Attaullah - Qameez Teri Kaali (Remix)
GT Road Lari Adda (Punjab),TAPE A,3,Attaullah - Pyar Naal
GT Road Lari Adda (Punjab),TAPE A,4,Attaullah - Ni Othe Amlan De
GT Road Lari Adda (Punjab),TAPE A,5,Arif Lohar - Jugni
GT Road Lari Adda (Punjab),TAPE A,6,Shaukat Ali - Kadi Te Has Bol
GT Road Lari Adda (Punjab),TAPE A,7,Akram Rahi - Sad Songs
GT Road Lari Adda (Punjab),TAPE A,8,Naseebo Lal - Jine Tukre
GT Road Lari Adda (Punjab),TAPE A,9,Mansoor Malangi - Ek Phul Motiye
GT Road Lari Adda (Punjab),TAPE A,10,Arif Lohar - Alif Allah
GT Road Lari Adda (Punjab),TAPE B,1,Attaullah - Idhar Zindagi Ka
GT Road Lari Adda (Punjab),TAPE B,2,Attaullah - Ashqon Ke Leke Dhare
GT Road Lari Adda (Punjab),TAPE B,3,Attaullah - Dil Tod Ke Hasti Ho
GT Road Lari Adda (Punjab),TAPE B,4,Attaullah - Bedardi Se Pyar Ka
GT Road Lari Adda (Punjab),TAPE B,5,Attaullah - Mujhko Yeh Teri Bewafai
GT Road Lari Adda (Punjab),TAPE B,6,Attaullah - Ishq Main Hum
GT Road Lari Adda (Punjab),TAPE B,7,Attaullah - Wafa Na Raas Aayee
GT Road Lari Adda (Punjab),TAPE B,8,Mansoor Malangi - Bismillah Karan
GT Road Lari Adda (Punjab),TAPE B,9,Akram Rahi - Dard
GT Road Lari Adda (Punjab),TAPE B,10,Tufail Niazi - Mein Nai Jana
GT Road Lari Adda (Punjab),FM 100,1,NFAK - Yeh Jo Halka Halka
GT Road Lari Adda (Punjab),FM 100,2,NFAK - Tumhein Dillagi
GT Road Lari Adda (Punjab),FM 100,3,NFAK - Mere Rashke Qamar
GT Road Lari Adda (Punjab),FM 100,4,NFAK - Kinna Sohna Tainu
GT Road Lari Adda (Punjab),FM 100,5,NFAK - Sanu Ek Pal Chain
GT Road Lari Adda (Punjab),FM 100,6,NFAK - Afreen Afreen
GT Road Lari Adda (Punjab),FM 100,7,Rahat Fateh Ali - Mann Ki Lagan
GT Road Lari Adda (Punjab),FM 100,8,Rahat Fateh Ali - Jiya Dhadak
GT Road Lari Adda (Punjab),FM 100,9,NFAK - Mera Piya Ghar Aaya
GT Road Lari Adda (Punjab),FM 100,10,NFAK - Ali Maula Ali
GT Road Lari Adda (Punjab),FM 89,1,Abrar ul Haq - Billo
GT Road Lari Adda (Punjab),FM 89,2,Jawad Ahmad - Ucchayan
GT Road Lari Adda (Punjab),FM 89,3,Abrar ul Haq - Majajni
GT Road Lari Adda (Punjab),FM 89,4,Jawad Ahmad - Dholna
GT Road Lari Adda (Punjab),FM 89,5,Malkoo - Nak Da Koka
GT Road Lari Adda (Punjab),FM 89,6,Shazia Manzoor - Batiyan
GT Road Lari Adda (Punjab),FM 89,7,Abrar ul Haq - Preeto
GT Road Lari Adda (Punjab),FM 89,8,Fariha Pervez - Patang Baaz
GT Road Lari Adda (Punjab),FM 89,9,Jawad Ahmad - Bin Tere
GT Road Lari Adda (Punjab),FM 89,10,Abrar ul Haq - Sanu Tere Naal
Karakoram Truck (KPK / North),TAPE A,1,Zeek Afridi - Bibi Shirini
Karakoram Truck (KPK / North),TAPE A,2,Rahim Shah - Pehle Toh Kabhi
Karakoram Truck (KPK / North),TAPE A,3,Humayun Khan - Laili Laili
Karakoram Truck (KPK / North),TAPE A,4,Zeek Afridi - Za Pukhtoon
Karakoram Truck (KPK / North),TAPE A,5,Rahim Shah - Jhoola
Karakoram Truck (KPK / North),TAPE A,6,Haroon - Dil Se
Karakoram Truck (KPK / North),TAPE A,7,Zeek Afridi - Mong
Karakoram Truck (KPK / North),TAPE A,8,Humayun Khan - Folk Hits
Karakoram Truck (KPK / North),TAPE A,9,Rahim Shah - Channa
Karakoram Truck (KPK / North),TAPE A,10,Haroon - Mehndi
Karakoram Truck (KPK / North),TAPE B,1,Sardar Ali Takkar - Ghani Poetry
Karakoram Truck (KPK / North),TAPE B,2,Classic Rabab - Khyber Pass
Karakoram Truck (KPK / North),TAPE B,3,Zarsanga - Da Bangriwal
Karakoram Truck (KPK / North),TAPE B,4,Sardar Ali Takkar - Tapay
Karakoram Truck (KPK / North),TAPE B,5,Zarsanga - Ro Ro Kida
Karakoram Truck (KPK / North),TAPE B,6,Classic Rabab - Swat Solo
Karakoram Truck (KPK / North),TAPE B,7,Sardar Takkar - Sad Ghazal
Karakoram Truck (KPK / North),TAPE B,8,Zarsanga - Traditional
Karakoram Truck (KPK / North),TAPE B,9,Khumariyaan (Early) - Sheen
Karakoram Truck (KPK / North),TAPE B,10,Classic Rabab - Instrumental
Karakoram Truck (KPK / North),FM 100,1,Nashenas - Afghan Folk Hits
Karakoram Truck (KPK / North),FM 100,2,Haroon - Jiya Jaye
Karakoram Truck (KPK / North),FM 100,3,Nashenas - Pashto Ghazal
Karakoram Truck (KPK / North),FM 100,4,Rahim Shah - Ghoom Tana
Karakoram Truck (KPK / North),FM 100,5,Hadiqa Kiani - Jaan-e-Jaan
Karakoram Truck (KPK / North),FM 100,6,Nashenas - Classic Medley
Karakoram Truck (KPK / North),FM 100,7,Zohaib Hassan - Dheere Dheere
Karakoram Truck (KPK / North),FM 100,8,Rahim Shah - Ishq
Karakoram Truck (KPK / North),FM 100,9,Haroon - Yara
Karakoram Truck (KPK / North),FM 100,10,Nashenas - Pashto Love
Karakoram Truck (KPK / North),FM 89,1,Zeb & Haniya - Paimana
Karakoram Truck (KPK / North),FM 89,2,Sajid & Zeeshan - King of Self
Karakoram Truck (KPK / North),FM 89,3,Zeb & Haniya - Chup
Karakoram Truck (KPK / North),FM 89,4,Strings - Mera Bichra Yaar
Karakoram Truck (KPK / North),FM 89,5,Mekaal Hasan Band - Jhok
Karakoram Truck (KPK / North),FM 89,6,Zeb & Haniya - Rona Chor
Karakoram Truck (KPK / North),FM 89,7,Noori - Manwa Re
Karakoram Truck (KPK / North),FM 89,8,EP - Waqt
Karakoram Truck (KPK / North),FM 89,9,Aaroh - Raag Neela
Karakoram Truck (KPK / North),FM 89,10,Sajid & Zeeshan - Freeway
Makran Coastal Cruiser (Balochistan),TAPE A,1,Akhtar Chanal - Dana Pe Dana
Makran Coastal Cruiser (Balochistan),TAPE A,2,Rostam Mirlashari - Laila
Makran Coastal Cruiser (Balochistan),TAPE A,3,Old Balochi Wedding Song
Makran Coastal Cruiser (Balochistan),TAPE A,4,Rostam Mirlashari - Mashup
Makran Coastal Cruiser (Balochistan),TAPE A,5,Akhtar Chanal - Dastan
Makran Coastal Cruiser (Balochistan),TAPE A,6,Traditional Balochi Chaap
Makran Coastal Cruiser (Balochistan),TAPE A,7,Rostam - Sabz Sabz
Makran Coastal Cruiser (Balochistan),TAPE A,8,Akhtar - Chappar
Makran Coastal Cruiser (Balochistan),TAPE A,9,Rostam - Laili Jan
Makran Coastal Cruiser (Balochistan),TAPE A,10,Traditional Pop Mix
Makran Coastal Cruiser (Balochistan),TAPE B,1,Traditional Leva Beat
Makran Coastal Cruiser (Balochistan),TAPE B,2,Arif Baloch - Folk Classic
Makran Coastal Cruiser (Balochistan),TAPE B,3,Traditional - Sorouz
Makran Coastal Cruiser (Balochistan),TAPE B,4,Arif Baloch - Dambora
Makran Coastal Cruiser (Balochistan),TAPE B,5,Traditional - Benju
Makran Coastal Cruiser (Balochistan),TAPE B,6,Akhtar Chanal - Afghan
Makran Coastal Cruiser (Balochistan),TAPE B,7,Arif Baloch - Sad Folk
Makran Coastal Cruiser (Balochistan),TAPE B,8,Traditional - Flute
Makran Coastal Cruiser (Balochistan),TAPE B,9,Arif - Classic
Makran Coastal Cruiser (Balochistan),TAPE B,10,Traditional - Makran Beat
Makran Coastal Cruiser (Balochistan),FM 100,1,Googoosh (Iranian) - Talagh
Makran Coastal Cruiser (Balochistan),FM 100,2,Googoosh - Hejrat
Makran Coastal Cruiser (Balochistan),FM 100,3,Mai Dhai - Aankharli
Makran Coastal Cruiser (Balochistan),FM 100,4,Sounds of Kolachi (Early)
Makran Coastal Cruiser (Balochistan),FM 100,5,Classic Iranian Border Radio
Makran Coastal Cruiser (Balochistan),FM 100,6,Mai Dhai - Sarak
Makran Coastal Cruiser (Balochistan),FM 100,7,Googoosh - Pol
Makran Coastal Cruiser (Balochistan),FM 100,8,Classic Balochi Ghazal
Makran Coastal Cruiser (Balochistan),FM 100,9,Iranian Folk Instrumental
Makran Coastal Cruiser (Balochistan),FM 100,10,Googoosh - Makhloogh
Makran Coastal Cruiser (Balochistan),FM 89,1,Ali Zafar - Channo
Makran Coastal Cruiser (Balochistan),FM 89,2,Faakhir - Deewana
Makran Coastal Cruiser (Balochistan),FM 89,3,Ali Haider - Zalim Nazron
Makran Coastal Cruiser (Balochistan),FM 89,4,Najam Sheraz - Sona Chahti
Makran Coastal Cruiser (Balochistan),FM 89,5,Hadiqa Kiani - Dupatta
Makran Coastal Cruiser (Balochistan),FM 89,6,Strings - Sar Kiye
Makran Coastal Cruiser (Balochistan),FM 89,7,Awaz - Jadoo Ka Chiragh
Makran Coastal Cruiser (Balochistan),FM 89,8,Vital Signs - Sanwali Saloni
Makran Coastal Cruiser (Balochistan),FM 89,9,Shahzad Roy - Saali
Makran Coastal Cruiser (Balochistan),FM 89,10,Ali Zafar - Huqa Pani
Sehwan Wagon (Interior Sindh),TAPE A,1,Abida Parveen - Ho Jamalo
Sehwan Wagon (Interior Sindh),TAPE A,2,Allan Faqir & Muhammad Ali - Tere Ishq
Sehwan Wagon (Interior Sindh),TAPE A,3,Abida Parveen - Dhamal
Sehwan Wagon (Interior Sindh),TAPE A,4,Shazia Khushk - Rubaru
Sehwan Wagon (Interior Sindh),TAPE A,5,Reshma - Hai O Rabba
Sehwan Wagon (Interior Sindh),TAPE A,6,Abida Parveen - Ali Maula
Sehwan Wagon (Interior Sindh),TAPE A,7,Sanam Marvi (Early) - Haq Ali
Sehwan Wagon (Interior Sindh),TAPE A,8,Abida Parveen - Mast Qalandar
Sehwan Wagon (Interior Sindh),TAPE A,9,Allan Faqir - Classic
Sehwan Wagon (Interior Sindh),TAPE A,10,Reshma - Akhiyan Nu Rehn De
Sehwan Wagon (Interior Sindh),TAPE B,1,Allan Faqir - Humma Humma
Sehwan Wagon (Interior Sindh),TAPE B,2,Shazia Khushk - Balle Balle
Sehwan Wagon (Interior Sindh),TAPE B,3,Shazia Khushk - Dana Pe Dana
Sehwan Wagon (Interior Sindh),TAPE B,4,Allan Faqir - Sufi Kalam
Sehwan Wagon (Interior Sindh),TAPE B,5,Traditional Sindhi Alghoza
Sehwan Wagon (Interior Sindh),TAPE B,6,Allan Faqir - Ghazal
Sehwan Wagon (Interior Sindh),TAPE B,7,Shazia Khushk - Medley
Sehwan Wagon (Interior Sindh),TAPE B,8,Sindhi Lullaby (Folk)
Sehwan Wagon (Interior Sindh),TAPE B,9,Allan Faqir - Deep Folk
Sehwan Wagon (Interior Sindh),TAPE B,10,Traditional Sindhi Instrumental
Sehwan Wagon (Interior Sindh),FM 100,1,Farid Ayaz - Kangna
Sehwan Wagon (Interior Sindh),FM 100,2,Farid Ayaz - Mori Bangri
Sehwan Wagon (Interior Sindh),FM 100,3,Abida Parveen - Yaar Di
Sehwan Wagon (Interior Sindh),FM 100,4,Abida Parveen - Tu Kuja
Sehwan Wagon (Interior Sindh),FM 100,5,Farid Ayaz - Qawwali
Sehwan Wagon (Interior Sindh),FM 100,6,Abida Parveen - Ghazal
Sehwan Wagon (Interior Sindh),FM 100,7,Saif Samejo (Early)
Sehwan Wagon (Interior Sindh),FM 100,8,Farid Ayaz - Sufi
Sehwan Wagon (Interior Sindh),FM 100,9,Abida Parveen - Sufi Hits
Sehwan Wagon (Interior Sindh),FM 100,10,Farid Ayaz - Tarana
Sehwan Wagon (Interior Sindh),FM 89,1,Shafqat Amanat Ali - Mitwa
Sehwan Wagon (Interior Sindh),FM 89,2,Fuzon - Deewane
Sehwan Wagon (Interior Sindh),FM 89,3,Jal - Woh Lamhey
Sehwan Wagon (Interior Sindh),FM 89,4,Roxen - Tera Mera Rishta
Sehwan Wagon (Interior Sindh),FM 89,5,Entity Paradigm - Kahan Hai
Sehwan Wagon (Interior Sindh),FM 89,6,Fuzon - Khamaj
Sehwan Wagon (Interior Sindh),FM 89,7,Strings - Koi Aanay Wala Hai
Sehwan Wagon (Interior Sindh),FM 89,8,Call - Laree Choote
Sehwan Wagon (Interior Sindh),FM 89,9,Jal - Sajni
Sehwan Wagon (Interior Sindh),FM 89,10,Shafqat Amanat Ali - Aankhon
